ID_country|ISO_country|NAME_country|NAME_PRINT_country|ISO3_country|CODE_country|NAME_ESP_country|id_city|region_id|name_place|short_name_place|slug_place|group_id_place|province_id_place|group_slug_place|latitude|longitude|country_host_id_place|
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23928|23914|Caseros|Caseros|caseros|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23929|23914|Castelar|Castelar|castelar|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23930|23914|Chivilcoy|Chivilcoy|chivilcoy|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23931|23914|Ciudad Evita|Ciudad Evita|ciudad-evita|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23932|23914|Ciudad Jardín El Libertador|Ciudad Jardín El Libertador|ciudad-jardin-el-libertador|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23933|23914|Ciudadela|Ciudadela|ciudadela|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23934|23914|Don Torcuato|Don Torcuato|don-torcuato|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23935|23914|El Jagüel|El Jagüel|el-jaguel|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23936|23914|El Palomar|El Palomar|el-palomar|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23937|23914|Ezeiza|Ezeiza|ezeiza|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23938|23914|Ezpeleta|Ezpeleta|ezpeleta|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23939|23914|Florencio Varela|Florencio Varela|florencio-varela|NULL|NULL|otros|NULL|NULL|1||
9|AR|ARGENTINA|Argentina|ARG|32|Argentina|23940|23914|Florida (no es ciudad sino barrio)|Florida (no es ciudad sino barrio)|florida-no-es-ciudad-sino-barrio|NULL|NULL|otros|NULL|NULL|1||
